Program/Agency Name,Project Name,Sub-Project Name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,Total 10 Year,Ward Number,Ward,Category
"Parks, Forestry & Recreation",Playgrounds/Waterplay,FMP-Wading Pool Convert to Splash Pad (3),0,0,0,0,0,0,0,37,562,0,599,21,Scarborough Centre,Service Improvement and Enhancement
Toronto Paramedic Services,Capital Asset Management Planning,Capital Asset Management Planning,0,450,450,450,450,450,450,450,450,450,4050,CW,City Wide,Service Improvement and Enhancement
Fire Services,Helmet Replacement,Helmet Replacement-2024-2027,0,0,0,0,1000,0,0,0,0,0,1000,CW,City Wide,Health and Safety
Toronto Paramedic Services,Defibrillator Replacement Purchases,Defibrillator Replacement Purchases - Future years,0,5500,1000,0,0,0,0,5500,1000,0,13000,CW,City Wide,Health and Safety
"Parks, Forestry & Recreation",Playgrounds/Waterplay,FMP-Ward 6 Splash Pad (6),0,0,0,0,0,70,1060,25,0,0,1155,6,York Centre,Growth Related
"Parks, Forestry & Recreation",Outdoor Recreation Centres,FMP-Sports Field Improvements,0,0,120,120,120,120,120,120,120,120,960,CW,City Wide,Service Improvement and Enhancement
"Parks, Forestry & Recreation",Outdoor Recreation Centres,FMP-Multi-Use Field-Artificial Turf (1),0,140,2185,0,0,0,0,0,0,0,2325,CW,City Wide,Growth Related
"Parks, Forestry & Recreation",Community Centres,CAMP (SGR) Community Centres,0,0,0,500,3383,19479,26965,21150,15339,8427,95243,CW,City Wide,State of Good Repair
"Parks, Forestry & Recreation",Community Centres,FMP-Jenner Jean Marie Space Addition (1) Construct,0,3300,850,0,0,0,0,0,0,0,4150,15,Don Valley West,Growth Related
Toronto Paramedic Services,Multi-Function Station #4,Multi-Function Station #4,0,0,0,0,0,0,0,0,0,3000,3000,CW,City Wide,Growth Related
"Parks, Forestry & Recreation",Park Development,Jane-Finch Area Park Improvements,0,100,400,500,500,0,0,0,0,0,1500,7,Humber River-Black Creek,Growth Related
"Parks, Forestry & Recreation",Park Development,Eglinton Park Master Plan Implementation,0,0,0,0,225,1800,0,0,0,0,2025,8,Eglinton-Lawrence,Service Improvement and Enhancement
Economic Development and Culture,Restoration/Preservation of Heritage Elements,Lambton House-FY,0,0,0,0,300,200,0,400,0,200,1100,4,Parkdale-High Park,State of Good Repair
Seniors Services and Long-Term Care,SPIF Community Parkland,SPIF Community Parkland - Cummer Lodge,40.01,40.01,404.17,0,0,0,0,0,0,0,484.19,18,Willowdale,State of Good Repair
Economic Development and Culture,Refurbishment and Rehabilitation,Zion Schoolhouse Interiors -  FY,0,0,0,0,0,0,0,500,200,0,700,17,Don Valley North,State of Good Repair
Toronto Paramedic Services,Radio Infrastructure for Portable Coverage,Ambulance/Portable Replacement Radios-Future years,0,0,0,0,0,0,1000,1000,0,0,2000,CW,City Wide,State of Good Repair
Fire Services,Replacement of CBRNE Equipment,Lifecycle Replacement of CBRNE Equipment-2027,0,0,0,0,500,0,0,0,0,0,500,CW,City Wide,Health and Safety
"Parks, Forestry & Recreation",Community Centres,FMP-Scarborough Gymnasium Addition (2) Design,0,0,0,0,0,0,0,600,700,200,1500,CW,City Wide,Growth Related
Housing Secretariat,Housing Now,Housing Now Capital Cost,-205322,-66322,-42372,25567,11864,-27486,-14184,-40,0,0,-318295,CW,City Wide,Service Improvement and Enhancement
Housing Secretariat,Housing Now,Housing Now Phase 1 Due Diligence,4016,3525,715,0,0,0,0,0,0,0,8256,CW,City Wide,Growth Related
Housing Secretariat,Housing Now,Housing Now Phase 1 Capital Cost,15860,12556,4805,53,795,2074,5682,1152,0,0,42977,CW,City Wide,Growth Related
Housing Secretariat,Housing Now,Housing Now Phase 1 Due Diligence,0,0,0,0,0,0,0,10,0,0,10,CW,City Wide,Growth Related
Housing Secretariat,Housing Now,Housing Now Phase 1 Due Diligence,3365,3432,0,0,0,0,0,0,0,0,6797,CW,City Wide,Growth Related
Housing Secretariat,Housing Now,Housing Now Phase 1 Divisional Support,0,0,0,0,0,0,2200,2990,0,0,5190,CW,City Wide,Growth Related
Housing Secretariat,Housing Now,Housing Now Phase 1 Divisional Support,2787,3545,0,0,0,0,0,0,0,0,6332,CW,City Wide,Growth Related
Fire Services,Emergency Medical Bags,Emergency Medical Bags,0,175,0,0,0,0,0,0,0,0,175,CW,City Wide,Health and Safety
Fire Services,Compact Powered Suction,Compact Powered Suction,0,275,0,0,0,0,0,0,0,0,275,CW,City Wide,Health and Safety
Seniors Services and Long-Term Care,Building Health & Safety,Buildiing Health & Safety - 2022,500,0,0,0,0,0,0,0,0,0,500,CW,City Wide,Health and Safety
