Program/Agency Name,Project Name,Sub-Project Name,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,total_10years,Ward Number,Ward,Category
Toronto Paramedic Services,Defibrillator Replacement Purchases,Defibrillator Replacement Purchases - Future years,0,0,0,0,0,0,5500,1000,0,0,6500,CW,City Wide,Health and Safety C01
Toronto Paramedic Services,Capital Asset Management Planning,Capital Asset Management Planning - Facilities,831.3,831.3,831.3,831.3,831.3,831.3,831.3,831.3,831.3,831.3,8313,CW,City Wide,Service Improvement and Enhancement C04
Economic Development & Culture,Mural Program,2025-2033 Mural Program,0,200,200,200,200,200,200,200,200,200,1800,CW,City Wide,Service Improvement and Enhancement C04
Toronto Paramedic Services,Mobile Data Communications,Mobile Data Communications - Future years,0,300,300,300,300,300,300,300,300,300,2700,CW,City Wide,State of Good Repair C03
Toronto Paramedic Services,Power Stretchers,Power Stretchers - Replacements - Future Years,0,1600,1600,1600,1600,1600,1600,1600,1600,1600,14400,CW,City Wide,Health and Safety C01
Fire Services,Defibrillators Lifecycle Replacement,Defibrillators Lifecycle Replacement -2028,0,0,0,0,1100,0,0,0,0,0,1100,CW,City Wide,Health and Safety C01
Economic Development & Culture,Cultural Infrastructure Development,Guild - West Compound - FY,0,0,0,0,300,600,0,0,0,0,900,24,Scarborough-Guildwood,Service Improvement and Enhancement C04
Economic Development & Culture,Cultural Infrastructure Development,Guild Revitalization - FY,0,0,0,0,0,300,0,0,400,0,700,24,Scarborough-Guildwood,Service Improvement and Enhancement C04
Economic Development & Culture,Service Enhancement,Fort York Landscape-FY,0,200,500,700,300,200,300,0,0,0,2200,10,Spadina-Fort York,Service Improvement and Enhancement C04
Economic Development & Culture,Refurbishment and Rehabilitation,Colborne Lodge Interiors - FY,0,0,200,400,0,0,0,0,0,0,600,4,Parkdale-High Park,State of Good Repair C03
"Parks, Forestry & Recreation",Outdoor Recreation Centres,FMP-Mini-Soccer Field (2),0,5,80,0,0,0,0,0,0,0,85,CW,City Wide,Growth Related C05
"Parks, Forestry & Recreation",Outdoor Recreation Centres,FMP-Sports Bubble Stadium Site (2),0,0,100,1550,0,0,0,0,0,0,1650,CW,City Wide,Growth Related C05
"Parks, Forestry & Recreation",Outdoor Recreation Centres,FMP-Cricket Pitch (3),0,40,660,0,0,0,0,0,0,0,700,CW,City Wide,Growth Related C05
"Parks, Forestry & Recreation",Arena,FMP Don Mills Community Recreation Facility-Const,0,0,0,0,0,0,0,31578,0,0,31578,16,Don Valley East,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Arena,FMP-Arena Redevelopment-Twin Pad Design,0,0,0,0,0,0,0,500,1500,5000,7000,CW,City Wide,Growth Related C05
"Parks, Forestry & Recreation",Outdoor Recreation Centres,Sports Fields Program,0,0,1000,1000,1000,1000,1000,1000,1000,1000,8000,CW,City Wide,State of Good Repair C03
"Parks, Forestry & Recreation",Outdoor Recreation Centres,FMP-BMX Features (1),0,20,280,0,0,0,0,0,0,0,300,CW,City Wide,Growth Related C05
"Parks, Forestry & Recreation",Pool,FMP-Waterfront West Pool Addition (1) Construction,0,0,0,0,0,0,0,0,18500,20000,38500,10,Spadina-Fort York,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Pool,Critical SOGR to Maintain Service,0,0,0,261,962,1917,1218,1216,1930,0,7504,CW,City Wide,State of Good Repair C03
"Parks, Forestry & Recreation",Community Centres,FMP-Downsview CRC Design,0,0,0,0,0,0,0,0,500,7500,8000,CW,City Wide,Growth Related C05
"Parks, Forestry & Recreation",Community Centres,FMP-Downtown CRC (1) Construction,0,0,0,0,0,0,26866,30000,5000,0,61866,11,University-Rosedale,Growth Related C05
"Parks, Forestry & Recreation",Community Centres,FMP-Downtown CRC (1) Construction,0,0,0,0,30000,30000,3134,0,0,0,63134,11,University-Rosedale,Growth Related C05
"Parks, Forestry & Recreation",Community Centres,FMP-SW Scarborough CRC (2) Construction,0,0,0,0,0,0,0,0,20000,20000,40000,20,Scarborough Southwest,Growth Related C05
